precision recall time labels size
00 92.5556 97.5 10377.8 12 0.30682
01 85.8 90.6 22281.2 10 0.228627
02 85.3333 91.4167 11562.7 12 0.244818
03 77.5714 93.5 5163.05 8 0.129536
04 76.3333 96.2308 23148.9 13 0.210021
05 86.875 95.4167 6180.24 12 0.257958
06 94 98.375 9599.74 8 0.188784
07 97 97 6961.62 4 0.214109
08 85.875 96 7983.69 11 0.206628
09 90.125 93 10410.9 10 0.226304
10 80.875 95.5 11162.6 14 0.13743
11 81.25 98.5556 3148.15 9 0.228032
12 82.5 94.0833 81099.8 12 0.48042
13 74.4545 89.9231 88254.8 13 0.48042
14 83.2 92.5714 6319.31 14 0.151552
15 80.2222 89.7333 13643.9 15 0.13743
16 94.8 91.875 10274.9 8 0.186368
17 81.4 96.8333 16296.3 6 1.62991
18 84.1111 95 157746 11 1.67365
19 85.1538 89.8333 242434 12 1.67365
20 86.1 98.0833 68464.3 12 1.72788
21 82.3333 88.25 82614.8 12 0.896967
22 80.9 88.9167 94128 12 0.896967
23 73.3333 91.9231 85203.9 13 0.740908
24 85.2222 97.2308 195288 13 1.71362
25 80.625 88.2 88122.6 10 1.72788

# precision_sum recall_sum file_nb mean_precision mean_recall 
0 0 0 -nan -nan
