precision recall time labels size
00 88.6 93.2308 11107.7 13 0.30682
01 88.8 92.8889 17215.7 9 0.228627
02 95.8889 94 8721.25 10 0.244818
03 85.7143 97.75 4001.71 8 0.129536
04 85.3333 93.9 18244.1 10 0.210021
05 89.875 93.7273 4703.38 11 0.257958
06 95.3333 98.5 7133.71 8 0.188784
07 87.5 93.2 5342.08 5 0.214109
08 95 92 6261.59 8 0.206628
09 91.25 95.8889 8913.47 9 0.226304
10 85.625 97.6923 8010.89 13 0.13743
11 84.25 98.1667 2525.26 6 0.228032
12 86.375 96.0909 68225.6 11 0.48042
13 90.4545 94.1 70040.9 10 0.48042
14 91.7 91.9091 4612.82 11 0.151552
15 89.6667 89 10855.7 11 0.13743
16 89.8 89.1667 8009.12 6 0.186368
17 81.6 96.8333 11101.1 6 1.62991
18 84.4444 98 98217 12 1.67365
19 86.1538 86 182132 11 1.67365
20 91.9 94.9 45917.3 10 1.72788
21 93.2222 95.8 61078.8 10 0.896967
22 95.3 94.2 72864.1 10 0.896967
23 86.3333 95.4444 76845.8 9 0.740908
24 86.7778 97 188487 11 1.71362
25 79.625 88.3333 80460.3 9 1.72788

# precision_sum recall_sum file_nb mean_precision mean_recall 
0 0 0 -nan -nan
