precision recall time labels size
Freiburg101_scan 99.5294 99.6875 7489.2 16 1.0752
Freiburg52_scan 94.5714 99.4 2216.08 10 0.227622
Freiburg79_scan 99.9355 96.92 2380.74 25 0.4352
NLB 95.2807 98.0179 16985.7 56 0.84915
lab_a_scan 87.7 99.4565 8426.65 46 0.583392
lab_b_scan 97.3077 97.4167 2752.06 24 0.35551
lab_c_scan 91.6429 97.7059 2154.15 17 0.4352
lab_d_scan 93.4444 98.5333 4178.39 15 0.48804
lab_f_scan 94.4478 96.4762 8778.18 63 0.71346
lab_intel 91.4667 95.8077 5882.54 26 0.540204
lab_ipa 94.5263 94.0833 2745.45 12 0.663552
office_a 95.6129 98.6667 15568.5 27 0.81789
office_b 96.4444 99.6667 11368.5 30 0.81789
office_c 98.2571 99.5 20197 34 1.62409
office_d 96.3824 95.6 8783.75 25 0.741642
office_e 94.1667 98.5938 14207.8 32 0.897118
office_f 99.8148 99.5185 8253.57 27 0.850226
office_g 95.8308 98.0833 338314 36 4.7437
office_h 99.4167 98.6667 22958.6 21 1.05884
office_i 96.6667 98.9259 339451 27 3.39405

# precision_sum recall_sum file_nb mean_precision mean_recall 
0 0 0 -nan -nan
